name,regex
"Phone Number","(?:^|\s)(?:\+\d+\s|0)(?:\d[\s\-]?){9}(?:$|\s)"
"Email Address","[\w\.\-_]+@(?:[\w\.\-_]+\.)+\w+"
"MD5 Hashed ID","(?:^|[^0-9a-fA-f])([0-9a-fA-F]{32})(?:$|[^0-9a-fA-f])"
"Granular GPS Coords","(?:[Ll][Aa][Tt])\s*(?:\d{1,2}\.\d{3,10}\s*[NnSs]|[-+]?\d{1,2}\.\d{3,10})\s*(?:[Ll][Oo][Nn])\s*(?:\d{1,3}\.\d{3,10}\s*[WsEe]|[-+]?\d{1,3}\.\d{3,10})|\d{1,2}\.\d{3,10}\s*[NnSs]\s*\d{1,3}\.\d{3,10}\s*[WwEe]"
"Australian Passport Nummber","[ELMNPelmnp]\d{7}"
